"Outcome","N","Null_VPC_Strata","Null_Strata_Var","Full_VPC_Strata","Full_Strata_Var","PCV_Strata"
"Hypertension",8271,2.71157804620863,0.0916936879754273,5.45310266052443e-08,1.79399886824175e-09,99.999998043487
"Diabetes",2776,6.0610913364692,0.2122676484852,6.88853339121484e-08,2.26623665072727e-09,99.9999989323683
"Dyslipidemia",6527,4.2962397319939,0.147685547040437,4.25753266266258e-08,1.40067210410289e-09,99.9999990515848
