"Model","Strata_Variance","Individual_Variance","VPC_Strata","VPC_Individual","Total_Variance"
"Hypertension (Prevalence)",0.00539166743379605,3.28986813369645,0.0016361888771097,0.99836381112289,3.29525980113025
"Diabetes (Prevalence)",0.00447964801059877,3.28986813369645,0.00135979814744317,0.998640201852557,3.29434778170705
"Dyslipidemia (Prevalence)",0.0180152628458817,3.28986813369645,0.00544616018349156,0.994553839816508,3.30788339654233
"Hypertension (Awareness)",1.79399886824175e-09,3.28986813369645,5.45310266052443e-10,0.99999999945469,3.28986813549045
"Diabetes (Awareness)",2.26623665072727e-09,3.28986813369645,6.88853339121484e-10,0.999999999311147,3.28986813596269
"Dyslipidemia (Awareness)",1.40067210410289e-09,3.28986813369645,4.25753266266258e-10,0.999999999574247,3.28986813509712
